0,2.321588,7.0
10,2.299389,12.0
20,2.308748,18.0
30,2.281011,14.0
40,2.285156,23.0
50,2.288167,18.0
60,2.259247,20.0
70,2.274578,33.0
80,2.272982,36.0
90,2.270467,38.0
100,2.282131,34.0
110,2.250163,41.0
120,2.234550,42.0
130,2.242493,32.0
140,2.207580,52.0
150,2.165037,46.0
160,2.162364,47.0
170,2.201345,55.0
180,2.102046,65.0
190,2.058417,57.0
200,2.136810,58.0
210,2.010089,69.0
220,2.077095,71.0
230,1.978363,52.0
240,2.015770,66.0
250,1.946150,67.0
260,1.882419,65.0
270,1.664711,71.0
280,1.648309,75.0
290,1.700848,69.0
300,1.474269,82.0
310,1.767105,79.0
320,1.597519,82.0
330,1.482262,72.0
340,1.430974,80.0
350,1.294060,71.0
360,1.631982,82.0
370,1.331552,84.0
380,1.386584,83.0
390,1.228974,84.0
400,1.394567,81.0
410,1.267181,85.0
420,0.899364,81.0
430,1.061781,85.0
440,1.028935,88.0
450,1.206851,81.0
460,1.177095,84.0
470,0.789923,89.0
480,1.167462,74.0
490,1.183017,86.0
500,1.055692,83.0
510,1.158970,85.0
520,0.998179,77.0
530,0.995650,84.0
540,0.833573,83.0
550,0.763453,97.0
560,0.774165,87.0
570,1.000513,85.0
580,1.131924,86.0
590,0.850911,87.0
600,0.770832,91.0
610,0.868301,86.0
620,0.677892,90.0
630,0.849326,86.0
640,0.728381,82.0
650,0.820680,90.0
660,0.768755,87.0
670,0.724575,89.0
680,0.864924,87.0
690,0.655362,91.0
700,0.587932,94.0
710,0.656930,91.0
720,0.490931,93.0
730,0.818326,89.0
740,0.813731,91.0
750,0.900655,86.0
760,0.526645,90.0
770,0.752379,87.0
780,0.691599,95.0
790,0.819432,92.0
800,0.671824,89.0
810,0.547535,95.0
820,0.749027,92.0
830,0.707306,88.0
840,0.565083,92.0
850,0.932686,87.0
860,0.613740,88.0
870,0.541748,93.0
880,0.774565,92.0
890,0.629154,86.0
900,0.506833,91.0
910,0.658599,94.0
920,0.710539,92.0
930,0.739331,87.0
940,0.832579,90.0
950,0.726009,92.0
960,0.699939,89.0
970,0.822805,91.0
980,0.656990,90.0
990,0.322965,91.0
1000,0.504137,92.0
1010,0.656424,93.0
1020,0.716156,90.0
1030,0.597982,92.0
1040,0.628308,92.0
1050,0.638422,93.0
1060,0.603541,94.0
1070,0.572145,87.0
1080,0.501194,94.0
1090,0.523806,92.0
1100,0.442125,96.0
1110,0.689378,95.0
1120,0.621745,96.0
1130,0.902847,95.0
1140,0.504025,89.0
1150,0.530734,88.0
1160,0.523080,94.0
1170,1.021299,94.0
1180,0.479153,94.0
1190,0.723578,89.0
1200,0.338236,92.0
1210,0.564562,91.0
1220,0.586989,91.0
1230,0.465914,92.0
1240,0.283124,96.0
1250,0.432231,94.0
1260,0.472240,91.0
1270,0.669701,94.0
1280,0.482021,91.0
1290,0.673078,94.0
1300,0.507620,92.0
1310,0.669048,93.0
1320,0.659742,94.0
1330,0.519385,95.0
1340,0.512196,98.0
1350,0.427056,93.0
1360,0.672879,92.0
1370,0.518989,97.0
1380,0.403971,91.0
1390,0.353347,94.0
1400,0.484027,93.0
1410,0.744819,91.0
1420,0.432174,96.0
1430,0.323902,91.0
1440,0.367476,89.0
1450,0.714959,94.0
1460,0.323262,96.0
1470,0.405322,99.0
1480,0.412135,92.0
1490,0.537616,93.0
1500,0.646708,97.0
1510,0.601501,97.0
1520,0.653126,90.0
1530,0.591365,91.0
1540,0.608824,92.0
1550,0.472042,93.0
1560,0.493971,93.0
1570,0.584786,93.0
1580,0.436437,91.0
1590,0.972824,91.0
1600,0.505472,97.0
1610,0.600680,93.0
1620,0.557755,97.0
1630,0.481181,96.0
1640,0.431708,95.0
1650,0.634711,95.0
1660,0.350682,97.0
1670,0.577330,98.0
1680,0.313968,97.0
1690,0.445275,93.0
1700,0.411097,93.0
1710,0.470471,90.0
1720,0.435878,94.0
1730,0.391332,97.0
1740,0.212343,93.0
1750,0.461803,93.0
1760,0.331938,92.0
1770,0.531885,95.0
1780,0.433205,95.0
1790,0.531869,91.0
1800,0.413298,95.0
1810,0.464093,93.0
1820,0.517433,93.0
1830,0.462174,94.0
1840,0.313344,96.0
1850,0.379337,96.0
1860,0.451385,90.0
1870,0.516360,96.0
1880,0.613081,97.0
1890,0.443798,91.0
1900,0.412888,95.0
1910,0.319021,96.0
1920,0.299434,95.0
1930,0.309341,98.0
1940,0.367846,95.0
1950,0.479152,95.0
1960,0.525922,95.0
1970,0.550806,95.0
1980,0.544672,96.0
1990,0.370359,95.0
